time;thread;label;success;code;latency;bytes;msg
2025-11-19 23:27:29.496;Linear load-ThreadStarter 1-4;Delete movie rating;true;200;243;710;OK
2025-11-19 23:27:29.748;Linear load-ThreadStarter 1-5;Get user session;true;200;376;712;OK
2025-11-19 23:27:30.130;Linear load-ThreadStarter 1-5;Get popular movies;true;200;84;13421;OK
2025-11-19 23:27:30.224;Linear load-ThreadStarter 1-5;Get movie;true;200;77;3103;OK
2025-11-19 23:27:30.306;Linear load-ThreadStarter 1-5;Rate movie;true;201;204;635;Created
2025-11-19 23:27:30.530;Linear load-ThreadStarter 1-5;Delete movie rating;true;200;200;710;OK
2025-11-19 23:27:30.738;Linear load-ThreadStarter 1-6;Get user session;true;200;426;712;OK
2025-11-19 23:27:31.169;Linear load-ThreadStarter 1-6;Get popular movies;true;200;80;13421;OK
2025-11-19 23:27:31.256;Linear load-ThreadStarter 1-6;Get movie;true;200;75;2132;OK
2025-11-19 23:27:31.336;Linear load-ThreadStarter 1-6;Rate movie;true;201;205;635;Created
2025-11-19 23:27:31.552;Linear load-ThreadStarter 1-6;Delete movie rating;true;200;200;710;OK
2025-11-19 23:27:31.758;Linear load-ThreadStarter 1-7;Get user session;true;200;368;712;OK
2025-11-19 23:27:32.130;Linear load-ThreadStarter 1-7;Get popular movies;true;200;82;13421;OK
2025-11-19 23:27:32.220;Linear load-ThreadStarter 1-7;Get movie;true;200;78;1975;OK
2025-11-19 23:27:32.304;Linear load-ThreadStarter 1-7;Rate movie;true;201;202;635;Created
2025-11-19 23:27:32.512;Linear load-ThreadStarter 1-7;Delete movie rating;true;200;219;710;OK
2025-11-19 23:27:32.739;Linear load-ThreadStarter 1-8;Get user session;true;200;373;712;OK
2025-11-19 23:27:33.115;Linear load-ThreadStarter 1-8;Get popular movies;true;200;86;13421;OK
2025-11-19 23:27:33.207;Linear load-ThreadStarter 1-8;Get movie;true;200;81;2681;OK
2025-11-19 23:27:33.293;Linear load-ThreadStarter 1-8;Rate movie;true;201;213;635;Created
2025-11-19 23:27:33.516;Linear load-ThreadStarter 1-8;Delete movie rating;true;200;198;710;OK
